song,year,artist,genre,lyrics,length,commas,exclamations,colons,hyphens
under-the-ice,2007,blind-guardian,Metal,"Run 'til you find the answer
Time out for our poor Cassandra
She's fairy safe inside the fire
Inside the fire
Awakes desire
Cruelly admired
They'll torture her soul
And they'll torment her heart
But won't change her mind
Would you like to see me
How I'll cut off
Her head life's a game
A lesson to learn
Don't be shy just blame me
Well, there is no need to feel ashamed
Remember the oath
Remember the oath
Wake up it's time to cross the border
Is it true what they say
About the part you've played?
Enjoy your stay here
Welcome to the slaughterhouse
Release from rotten thoughts
No more pain
And no more gods
Under the ice you will believe
Under the ice you will be free
Released from rotten thoughts
No more pain
And no more gods
Please understand
It's not in our hands
Barren the land
It's all dead and gone
And still the tyrant's face is red
So witness my glory, my triumph, my fame
It's the sweetest taste
King of terror
Just stop wining
Hold your breath
It won't take long realize
This is your judgement day
In between the killing carry on
There are no rules here
Welcome to the slaughterhouse
Release from rotten thoughts
No more pain
And no more gods
Under the ice you will believe
Under the ice you will be free
Released from rotten thoughts
No more pain
And no more gods
Try to understand
You're the artificial enemy
An illusion we all need
For our sake
For our sake
We're not allowed to see
Beyond that's your skill
Will we ever learn the lesson
""We can't fly with broken wings""
Break the chains
Time to change
I'm afraid to say
But you won't play a part
It's been nice we now get to the climax
Your destination's unknown
Just get out of my way
Don't mind the blood here
Welcome to the slaughterhouse
Release from rotten thoughts
No more pain
And no more gods
Under the ice you will believe
Under the ice you will be free
Released from rotten thoughts
No more pain
And no more gods
Try to understand
Under the ice you will be free
Release from rotten thoughts
No more pain
And no more gods
And no more gods
I'm afraid to say
But you won't play a part",2060,3,0,0,0
betrayal,2006,gangstarr,Hip-Hop,"Yo what up son?
Yo what up kid?
Yo, you holdin your head up?
I'm tryin to man, but the system is shady
Word man they always man, they always tryin
to keep a good brother down, but I'm sayin
We still, you know we got love for you son
and we prayin for you and we, you know
we tryin to hold it down wh
you know while you in there man
No question
Hopefully they won't keep you in there for too long
Yeah, for real, I sure love be out in a minute, you know?
But you know what I want you to kid?
You know what wouldbe the bomb man?
What's that?
You need to do some shit with Face man
Bomb on niggaz, be shady man
Scarface?
Yeah man
Yo that's my nigga, yaknowwhaImean
Scarface is tight son
Yo that's a good idea word is bond
I'm gonna talk the play in tomorrow(yeah) and
see about if we could hook up wit him
That's proper
Scandalous, money greed and lust
In this trife life, there ain't nobody you can trust
Plus there's no justice, it's just us
In fact, watchin' yo back it be must
And each and everyday around the way gats bust
And jealous so-called friends'll try to set you up
It's called betrayal
Check the horror scene
The kid was like twelve or thirteen
Never had the chance like other kids to follow dreams
Watched his father catch two in the dome and to the spleen
Nothin"" but blood everywhere, these streets are mean
They spared his life, but killed his moms and his sister Jean
Of course over some drug shit
Hi spops was on some ill-out, spill your guts, on some thug shit
Didn't know his boys was on some shady ass no love shit
His pops got played out though, with silencers they laid him out yo
Took his stash and all the cash and left 'em, tied up on the couch yo
With tape over his mouth, so he couldn't cry out
cause his dad was the nigga with clout
Survival of the fittest so they split his wig no doubt
Despite the stocking caps he noticed the same cat, who used to give him doe
and taught him, to use the same gat
Supposed to be an Uncle,fam and all that
He could tell it was him 'cause he wore the same slacks, he wore when
he took him to Meadowlands racetrack
Why did he flip and go out like that?
It's called betrayal
Scandalous, money greed and lust
In this trife life, there ain't nobody you can trust
Plus there's no justice, it's just us
In fact, watchin' yo back it be must
And each and everyday around the way gats bust
And jealous so-called friends'll try to set you up
It's called betrayal
A Betrayal
Punk ass niggas
It's called betrayal
He on a mission to become a ball player
Flip big Benz's, flossin all gators
Had it all mapped out,6-8,12th grader
Fresh outta school, he fin' to go lay paper
He had abrother who was hustlin collectin his change
Never let his baby brother stick his neck in the game
Told him all he had to do is just enjoy the ride
And he ain't have to worry about money cause that's in time
So now he's pacin as the time moves slowly
Can't wait to face Shaquille in the paint and school Kobe
Kept his grades and stayed up under naighborhood functions
And then a group of knuckleheads came through dumpin
So now he's sittin on the sidewalk bleedin
Fell into a puddle of his own blood and stopped breathin
And everybody in the neighborhood still grievin
But destiny caught up with his ass and he got even
And all the cryin in the world ain't goin to bring him back
his brother, sittin at the wake wipin tears from his mother's eyes
Why'd the game have to go and take the young boys life
Only the wicked live shife, payin the price
while he's starin at the shell
his brothers soul wants hell the trigger man made bail
and you, wouldn't pay the boys mail, and sacrificed the fuckin family
That's betrayal
Betrayal
Scandalous, money greed and lust
In this trife life, there ain't nobody you can trust
Plus there's no justice, it's just us
In fact, watchin' yo back it be must
And each and everyday around the way gats bust
And jealous so-called friends'll try to set you up
It's called betrayal",3935,42,0,0,5
mordred-s-song,2006,blind-guardian,Metal,"I've lost my battle before it starts
My first breath wasn't done
My spirit's sunken deep
Into the ground
Why am I alone
I can hear my heartbeat
Silence's all around
See hat will rise
So don't come closer
Fear your child
Born with a king's heart
But fate fooled me
And changed my cards
No one asked if I want it
If I like it
Pain inside is rising
I am the fallen one
A figure in an old game
No Joker's on my side
I plunged into misery
I'll turn off the light
And murder the dawn
Turn off the light
And murder the dawn
Nothing else,
But laughter is around me
Forevermore
No one can heal me
Nothing can save me
No one can heal me
I've gone beyond the truth
It's just another lie
Wash away the blood on my hands
My father's blood
In agony we're unified
I never wanted to be
What they told me to be
Fulfill my fate then I'll be free
God knows how long
I tried to change fate
Pain inside is rising
I am the fallen one
A figure in an old game
No Joker's on my side
I plunged into misery
I'll turn off the light
And murder the dawn
Turn off the light
And murder the dawn
I plunged into misery
I'll turn off the light
And murder the dawn
Turn off the light
And murder the dawn",1167,1,0,0,0
check-the-technique,2014,gangstarr,Hip-Hop,"You puny protozoa, you`re so minute you didn`t know the
Gang has been watchin but instead of just squashin you
I`m scoopin you up out of the muck you wallow in
Like a chief chemist, other scientists are followin
Plannin to examine you, on a petrie dish
Sticking you and frickin you, just a teenie bit
I`m clever, with science, but never relyin
On false words from cowards who forever be tryin
Insistin they come off, I let `em get some off
Then come back wit drum tracks, their ears could get numb off
Blockbustin, like makin love, i`ll never stop thrustin
Into your system, so just listen
I`m like a neurosurgeon, operatin wit a purer version
I write prescriptions, of words that fit in
The thought gets prescribed, as I kick it live
Cause it`s more that a style, it`s conceptual genius
My effect on the scene is, to project that I mean this
You deadbeat, wait until you see my next feat
I get respect for the rep when I speak
Check the technique
I`m rushin you like a defensive end as I recommend
That you comprehend, I could stomp you in
A battle, contest, or war, what will occur
Will be the forfeiture, of your immature
Insecure for sure, meek, weak visions of grandeur
To rudely awaken you, and then`ll be breakin you
Taxin without askin and trackin and snakin you
Makin you succumb to the drums of gangstarr
By far we are, truly gifted ones son
But if you were to speculate or estimate us losin
You`ll be dyin, tryin to face the fate of your delusions
Cause miscalculation, is all you`re statin
So i`m chumpin, puntin punks just like footballs
Cause I want to put y`all, back in the messhall
To clean up the slop, and stop all the bullcrap
Your rap`s crazy wack, so don`t try to pull that
You`re lackin the vernacular, i`m slappin ya and cappin ya
And closin your jaw, cause you can`t mess with gangstarr
The guru and premier always dope with the blessed beats
Dance your ass off hobbes, check the technique
""Bon voyage"", ""sayanora"", ""arriva derci""
Your ass gets busted doodoo mustard, you tried to work me
You irked me - because you copy and falsify
And I don`t care how many step up, cause you all can try
To wish and fish for a style, here`s a fishin rod
These rhymes are hittin hard, constantly i`m gettin large
Inevitably, I readily kick a slew
Of lyrics so deep, so don`t sleep, but just peep me
Puttin methods on records and spinning for each millisecond
33 rpm`s displays the art of men
And as my rhymin builds you see my time it`s chill
And then I look upon weak ones
I`m teachin each one so they become redone
Essays are relayed to twist you up like french braids
Or tied up like corn braids, cause I got a strong way
Force like police raids to never be delayed
I once was the least paid but I made the grade
Cause this ain`t a slave sale and I ain`t the same stale
Rapper, no, i`m not a phony microphonist wit no blaster
No type of real appeal or real - talent
And it makes me violent man
To see all of these peewee bee mc wannabees
Makin g`s for some dumb companies
And lots of money but no idea what is rap and what is dope
So check out what the guru wrote
Cause I will prevail, give you tales as I unveil
Have enough braincells so I can stay paid well
Now i`m in the driver`s seat, and rockin the liver beats
Bouncin and boomin and blastin you to the next seat
Shiek and unique with lots of kick like a cleat
Check the technique",3349,49,0,0,2
waterloo-svensk,2016,abba,Pop,"My my
At Waterloo Napoleon did surrender
Oh yeah
And I have met my destiny in quite a similar way
The history book on the shelf
Is always repeating itself
Waterloo I was defeated, you won the war
Waterloo promise to love you for ever more
Waterloo couldn't escape if I wanted to
Waterloo knowing my fate is to be with you
Waterloo finally facing my Waterloo
My my
I tried to hold you back, but you were stronger
Oh yeah
And now it seems my only chance is giving up the fight
And how could I ever refuse
I feel like I win when I lose
Waterloo I was defeated, you won the war
Waterloo promise to love you for ever more
Waterloo couldn't escape if I wanted to
Waterloo knowing my fate is to be with you
Oh, oh Waterloo finally facing my Waterloo
So how could I ever refuse
I feel like I win when I lose
Waterloo couldn't escape if I wanted to
Waterloo knowing my fate is to be with you
Waterloo finally facing my Waterloo
Waterloo knowing my fate is to be with you
Oh, oh Waterloo finally facing my Waterloo
Waterloo knowing my fate is to be with you",1047,5,0,0,0
i-wonder-departure,2009,abba,Pop,"This park and these houses, old streets I have walked
Everything dear, will it be here
One day when I am returning?
My friends will get married, have children and homes
It sounds so nice, well-planned and wise
Never expecting surprises
I wonder, it's frightening
Leaving now, is that the right thing?
I wonder, it scares me
But who the the hell am I if I don't leave it
I'm not a coward
Oh no, I'll be strong
One chance in a lifetime
Yes I will take it, it can't go wrong
My friends and my family, this dull little town
Buses I've missed, boys that I've kissed
Everything old and familiar
I wonder, it's frightening
Leaving now, is that the right thing?
I wonder, it scares me
But who the the hell am I if I don't leave it
I'm not a coward
Oh no, I'll be strong
One chance in a lifetime
Yes I will take it
Yes I will take it, it can't go wrong",843,16,0,0,1
crazy-world,2009,abba,Pop,"I was out with the morning sun
Couldn't sleep, so I thought I'd take a walk
I was thinking of you and me
And I went to your house, 'cause I had to talk
I could hardly believe my eyes
When I saw this guy closing your front door
Had the feeling of emptiness like I never had before
And I closed my eyes, will you leave me girl
Then I realized, it's a crazy world
As he disapeared in his car
I was stunned and I didn't know what to do
Everything I had ever dreamed
Everything in my life's part of you
And I just couldn't move my feet
So I stood on the pavement as you came out
You acted as you didn't know what it was all about
And I closed my eyes, will you leave me girl
Then I realized, it's a crazy world
Baby, how could you do it
You just told me lies
And you meet behind my back
With other guys
Baby, how could you tell me
There was only me
I was stupid to believe you
I was blind but now I see
Then you smiled and you took my hand
""There is something"", you said, ""that you may not know
There's a couple of men in my life
And one of them is my brother Joe
He's been gone for a long, long time
But he's back and I think he's gonna stay
You'll be seeing a lot of him, he's so nice in every way""
Then I closed my eyes, never leave me girl
Then I realized, it's a crazy world
So I closed my eyes, never leave me girl
Then I realized, it's a crazy world
So I closed my eyes, never leave me girl
Then I realized, it's a crazy world",1428,18,0,0,0
war-of-wrath,2006,blind-guardian,Metal,"The field is lost
Everything is lost
The black one has fallen from the sky and the towers in ruins lie
The enemy is within, everywhere
And with him the light, soon they will be here
Go now, my lord, while there is time
There are places below
And you know them too
I release thee, go
My servant you'll be for all time
As you command
My king
I had a part in everything
Twice I destroyed the light and twice I failed
I left ruin behind me when I returned
But I also carried ruin with me
She, the mistress of her own lust",517,6,0,0,0
zonin,2007,gangstarr,Hip-Hop,"""Yo, you alright man? You zonin'?""
""I, I speak that""
""What's the deal?""
""I speak that re-real shit, just listen""
Yo I pop your lid, I got to live
I ain't tall but I can show why'all what a problem is
I like to zone, I'm nice with chrome
I keep a vast stash of Magnums cause I like to bone
I play the game, I stay the same
But I can switch styles, pick files, I'm like gravy train
Shot the witness, got the bitches
Still in the streets with my heat about to shock the business
I handle biz, I cancel kids
Just like Allen I'ma show 'em what ""The Answer"" is
I'm after props, I spaz a lot
And yo I'm deadin' all the bullshit 'til my casket drops
You know me boy, you owe me boy
You want to end up in my trunk dyin' slowly boy?
I'm confident, I'm on some shit
Cause I been knowin'already you was on the dick
I'm zonin'
[Chorus: x2]
""Down with the foundation""
""Step into my zone, mad rhymes'll stifle ya""
""No time for games cause I'm, all grown up""
""I speak that re-real shit, just listen""
It's conspiracy, you hearin' me?
That's why I get love
And still got others fearin' me
You never know, who's next to blow
And since it's me, I'ma stash me some extra dough
Got extra flow, chicks give me sex and dough
Need I, mention P.I. player let me know
I'm down with dis, I founded this
So you should recognize the true authentic sound of this
The golden voice, holdin' toys
But not playin', Guru and Preem', we like the golden boys
The chain and star, I'm angry pah
'Cause you fucks ain't want to give us what we aimin' for
You stupid son, I shoot my gun
From the heart fool, you know that's where this music from
Protect your dome, respect the throne
This is Guru and Premier, and you can bet it's on
I'm zonin'",1701,30,0,1,2
suzy-hang-around,2006,abba,Pop,"Suzy was nine and I was ten
Right at the time when boys like to think they're men
She used to follow us at school
We really thought that she was a little fool
And one day we said to her
We don't want to hurt you girl
But you'd better
Look for a friend of your own, Suzy-hang-around
Better come back when you're grown, Suzy-hang-around
Nobody wants you around here and that's for sure
So get off our playground and stay away
That's all that we've got to say
Suzy-hang-around
Suzy went home to Mama's arms
Mama said ""Look, she's never done you no harm
So get off her back and let her be
Why can't you play together in harmony?""
We really didn't know what to say
But as soon as she went away
We laughed and said
Look for a friend of your own, Suzy-hang-around
Better come back when you're grown, Suzy-hang-around
Nobody wants you around here and that's for sure
So get off our playground and stay away
That's all that we've got to say
Suzy-hang-around",948,5,0,0,12
disillusion,2006,abba,Pop,"Changing, moving in a circle
I can see your face in all of my dreams
Smiling, laughing from the shadows
When I hear your voice, I know what it means
I know it doesn't matter just how hard I try
You're all the reason for my life
Disillusion, disillusion's all you left for me
How can I forget you when my world is breaking down
You're all I had, you're all I want
Disillusion, disillusions, now that's all I have
Wishing, hoping, chasing shadows
Did I see your face somewhere in the crowd
Thinking, wondering what you're doing
I can't stop myself from crying out loud
They say my wound will heal and only leave a scar
But then, they never shared our love
Disillusion, disillusion's all you left for me
How can I forget you when my world is breaking down
You're all I had, you're all I want
Disillusion, disillusions, now that's all I have",837,15,0,0,0
sabotage,2007,gangstarr,Hip-Hop,"I want the public to know, what goes on
I mean, look at the situation, be real
The names have been changed to protect the innocent
Each step is intricate, I rep magnificent
Knew this kid named Ronnie, used to make cash with Caesar
They made a lot of money back in the 80's crack fever
Caesar was an overachiever, a kingpin and 18-and-a-half
He got knocked and left Ronnie to watch the team and the stash
Plus his crib, his jewels, his whip and his girl
And Ronnie's self-interests had him livin in a different world
He rocked Caesar's chains, he put Caesar's rings
Smokin mad wools all day, with Caesar's change
Not to mention he pushed up on Caesar's wifey
A move like that my man, extremely sheisty
It all got back to Caesar in the bing
They found Ronnie's body in the playground by the swings
Anyone can get it, for sure it don't matter dawg
Especially when a nigga tries commitin sabotage
There ain't nobody to trust
It's got me ready, ready, ready, ready, ready to bust
It's like sabotage, there ain't nobody to trust""
It's like sabotage
It's got me ready, ready, ready, ready, ready to bust""
Treachery, deception, it's best to keep a weapon
When you think that they be breddern, they underhand your plan
It's over for the cowardly, we grow more potent hourly
I'm knowin where the power be, I'm scheming to get even
Dissension can occur from within one's ranks
The chain can be weakened, by just one link
Pricks be galavantin from one crew to the next
Musical click-ass niggas catch two to the chest
My usual guess is that they chose to digress
Disillusioned by greed, causin you to distress
Just do what's best, clean house, leave out
Them punks can't touch what they can't peep out
See I'm a raw nigga, and like my pops I'm a lawgiver
Can't throw a wrench in my game, I'm a boss figure
Take you under my wing, it don't matter God
Dead you if you try to commit, sabotage
Rise for me now, kneel for me now
Time to pass judgment, can't feel for you now
Lay in your bed, accept your fate
Try to clean it up, except you're late
From the streets to the industry, peep the chemistry
It's GangStarr shit, makin a livin see
We put it on and when it's war it's war
Sabotage'll have me dumpin the four",2197,40,0,0,5
thank-you-for-the-music,2001,abba,Pop,"I'm nothing special, in fact I'm a bit of a bore
If I tell a joke, you've probably heard it before
But I have a talent, a wonderful thing
Cause everyone listens when I start to sing
I'm so grateful and proud
All I want is to sing it out loud
So I say
Thank you for the music, the songs I'm singing
Thanks for all the joy they're bringing
Who can live without it, I ask in all honesty
What would life be?
Without a song or a dance what are we?
So I say thank you for the music
For giving it to me
Mother says I was a dancer before I could walk
She says I began to sing long before I could talk
And I've often wondered, how did it all start?
Who found out that nothing can capture a heart
Like a melody can?
Well, whoever it was, I'm a fan
So I say
Thank you for the music, the songs I'm singing
Thanks for all the joy they're bringing
Who can live without it, I ask in all honesty
What would life be?
Without a song or a dance what are we?
So I say thank you for the music
For giving it to me
I've been so lucky, I am the girl with golden hair
I wanna sing it out to everybody
What a joy, what a life, what a chance
Thank you for the music, the songs I'm singing
Thanks for all the joy they're bringing
Who can live without it, I ask in all honesty
What would life be?
Without a song or a dance what are we?
So I say thank you for the music
For giving it to me
So I say
Thank you for the music, for giving it to me",1413,16,0,0,0
suckaz-need-bodyguards,2006,gangstarr,Hip-Hop,"Mc's be fakin' so now they get taken
Chorus:
Fake mc's, they always act hard
But won't walk the street without they bodyguard
I hate fake mc's, they always act hard
But won't walk the street without they bodyguard
Verse one:
Mc's I lay out like stiffs in the morgue
Praise the lord you're in awe when I'm grippin the mic cord
Rhymes I rip with swift execution
One verse to coerce your girl to prostitution
The guru is now the brother you fear and
Beware when I'm making hits with premier and
Rolling to a spot near you, lyrics tear through
Chrome to your dome you better watch your rear view
Niggaz been held back too long we're coming up
In the streets we roll alone so watch me running up
I'm summing up a mad posse of warriors
Night crusaders able to break down barriers
And bringing faces of death putting mc's to rest
Until there's no fake chumps left
Run, step, yeah bounce nigga bounce
My rhyme's a [cargo] when yours is just a quarter ounce
Chorus 4x
Verse two:
Gangstarr boy and that's beyond your comprehension
Mad brothers in every city you can feel the tension
To stop the killing wack mc's must die
Who am ? I'm the substance that'll make your third eye cry
Too potent, too high in intelligence quotient
When I unleash my speech I'll have you punk rappers open
I won't expose your names and your identities
You know you're phoney get the fuck from in front of me
Hardcore fans are fed up from your folklore
Lines strip you raw and infect you like cold sores
And I hope you're not the one that I'm after
Since the days of adidas I've been a true master
Chorus 4x
Verse three:
I've been around punk but yo I still feel young
A few of my crew members like to pack guns
I'm high strung but don't mistake me when I smile
I murder an entire rap chart with my freestyle
After the killing just like casper I'm ghost
Fakes thought I was friendly, at their wakes I was host
Toast without a gun you'd be done
Throw up your hands bitch and now you know you stand to lose one
Choose one metaphor and then choose another
Wax that ass like a bully have you calling your big brother
Although I'm five foot eight they call me sargeant
Got more hoes in my dick than you can fit in the garden
At madison square I shot a fair one
So many niggaz knew me that the kid wouldn't dare run
Mc's pay cash to ensure their safety
They know they can't take me; the g-a-n-g, you crazy?
I be on them like a message from god
Knowledge of self while fake mc's play hard
Chorus 4x
Outro (2x):
Fake mc's they always act hard
I'm not a sucker so I don't need a bodyguard",2546,8,0,5,3
royalty,2006,gangstarr,Hip-Hop,"""Gangstarr has gots to be the sure shot""
""and it's like dat""
""GangStarr""
""Represent""
Ohhh yeah
One of the meanest and the cleanest
And still I'm kind of feindish when I'm at this
Been doin this for eons, peons best to catch this
vision of excellence, precise rappin ability
Bout to make some dead presidents, macking a million G
The money though, it's got people actin funny yo
As soon as some niggaz get some light, they be like dummies yo
Products and puppets and pawns, gettin played out
When authentic niggaz step up, respect be layed out
Major effect to your sector, I'm the corrector
Live and direct, waving my mic like a sceptor
Supreme exalted, universal leader
Descendent of the kings and queens, the overseer
The overlord, cream of the crop, creme de la creme
Spent years buildin with cats in the streets, so they my men
Again, GangStarr has done it
Remember too much jewels back in the days? You'd have to run it
Check it, the ground be hot under our feet
So we be listening to beats to keep the cypher complete
Wether you kids be holdin, on the block all day
Or you be puffing lye, out in the back hallway
Or whether you being schooled, or in the library
Wherever you are Baby Pah, realize that your essence
is divine son, and let it shine son
As we refine son, aiyyo, this shit'll blow your mind son
We're royalty
Wherever I go
I want to take nothin less than the best
Whatever I choose, I choose to do
I have to stand out from all the rest
Whatever I do, wherever I go
I want to take nothin less than the best
Whatever I choose, I choose to do
I just wanna stand out from all the rest
And all the girls they want to spoil me
My honey annoits me with oils G
After work she greets me, and treats me like royalty
Works with me, giving herself, by my side
She don't sweat me for loot, my fame, or my ride
A lot of ladies out there, be lookin lovely
But they don't got no control of the their life, inside they're ugly
Word to Bugsy, and to Red Alert
Sway and Tech, and Funkmaster Flex to make your head jerk
Chicks go beserk when they see us in the spot
K-Ci, JoJo and Primo, creepin to the top
And to the sweethearts out there breaking hearts
While we're takin part of this hip-hop art
Listen yo, the best way, it ain't always the fast way
And yes the best way, it ain't always to act nasty
I'll open up the door always before you pass me
Baby Doll, because you're royalty
Whatever I do, Wherever I go
I want to take nothin less than the best
Whatever I choose, I choose to do
I have to stand out from all the rest
Whatever I do, wherever I go
I want to take nothin less than the best
Whatever I choose, I choose to do
I just wanna stand out from all the rest
""GangStarr has to gots to be the sure shot""
""and it's like dat""
""GangStarr has to gots to be the sure shot""
""and it's like dat""
""GangStarr has to gots to be the sure shot""
""and it's like dat""
""GangStarr has to gots to be the sure shot""
""and it's like dat""",2926,45,0,0,2
moment-of-truth,2006,gangstarr,Hip-Hop,"No matter what we face
We must face the moment of truth baby
They say it's lonely at the top, in whatever you do
You always gotta watch motherfuckers around you
Nobody's invincible, no plan is foolproof
We all must meet our moment of truth
The same sheisty cats that you hang with, and do your thang with
Could set you up and wet you up, nigga peep the language
It's universal, you play with fire it may hurt you
Or burn you, lessons are blessings you should learn through
Let's face facts, although mc's lace tracks
It doesn't mean behind the scenes there ain't no dirt to trace back
That goes for all of us, there ain't nobody to trust
It's like sabotage, it's got me ready to bust
But I can't jeopardize, what I have done up to this point
So I'mma get more guys, to help me run the whole joint
Cultivate, multiply, motivate, or else we'll die
You know I be the master of the who, what, where and why
See when you're shining, some chumps'll wanna dull ya
Always selfish jealous punks, will wanna pull ya
Down, just like some shellfish in a bucket
Cause they love it, to see your ass squirm like a worm
But just as you'll receive what is coming to you
Everybody else is gonna get theirs too
I ain't no saint, therefore I cannot dispute
That everyone must meet their moment of truth
Actions have reactions, don't be quick to judge
You may not know the hardships people don't speak of
It's best to step back, and observe with couth
For we all must meet our moment of truth
Sometimes you gotta dig deep, when problems come near
Don't fear things get severe for everybody everywhere
Why do bad things happen, to good people?
Seems that life is just a constant war between good and evil
The situation that I'm facin, is mad amazin
To think such problems can arise from minor confrontations
Now I'm contemplatin in my bedroom pacin
Dark clouds over my head, my heart's racin
Suicide? nah, I'm not a foolish guy
Don't even feel like drinking, or even gettin high
Cause all that's gonna do really, is accelerate
The anxieties that I wish I could alleviate
But wait, I've been through a whole lot of other shit, before
So I oughta be able, to withstand some more
But I'm sweating though, my eyes are turning red and yo
I'm ready to lose my mind but instead I use my mind
I put down the knife, and take the bullets out my nine
My only crime, was that I'm too damn kind
And now some scandalous motherfuckers wanna take what's mine
But they can't take the respect, that I've earned in my lifetime
And you know they'll never stop the furious force of my rhymes
So like they say, every dog has its day
And like they say, God works in a mysterious way
So I pray, remembering the days of my youth
As I prepare to meet my moment of truth
""You shall know the truth and the truth shall set you free!""
Yo I got one lyric pointed at your head for start
Another one, is pointed at your weak ass heart
Now if I pull the trigger, on these fully loaded lines
You're gonna wish I woulda pulled a black nine, I mack dimes
Crack the spines of the fake gangsters
Yeah the bitin triflin niggas, and the studio pranksters
Yo lookin at the situation plainly: will you remain g?
Or will you be looked upon strangely?
I reign as the articulator, with the greater data
Revolvin on the tascam much doper than my last jam
While others struggle to juggle, tricky metaphors
I explore more, to expose the core
A lot of emcees, act stupid to me
And we have yet to see, if they can match our longevity
But anyway it's just another day
Another fake jack I slay with my spectac' rap display
Styles, smooth but rugged -- you can't push or shove it
You dig it and you dug it cause like money you love it
The king of monotone, with my own throne
Righteously violent prone my words bring winds like cyclones
Stormin your hideout, blockin out your sunlight
Your image and your business, were truly not done right
Throw up your he-allah-i now, divine saviors
You got no hand skills there's no security to save ya
No pager, no celly, no drop top benz-y
I came to bring your phony hip-hop, to an ending
My art of war will leave you sore from the abuse
Cause you must meet your moment of truth
They say it's lonely at the top in whatever you do
You always gotta watch motherfuckers around you
No one is untouchable, no man is bulletproof
We all must meet our moment of truth",4322,58,1,1,6
i-let-the-music-speak,2012,abba,Pop,"I'm hearing images, I'm seeing songs
No poet has ever painted
Voices call out to me, straight to my heart
So strange yet we're so well acquainted
I let the music speak, with no restraints
I let my feelings take over
Carry my soul away into the world
Where beauty meets the darkness of the day
Where my mind is like an open window
Where the high and healing winds blow
From my shallow sleep the sounds awake me
I let them take me
(Let them wake me, let them now, let them take me)
Let it be a joke
Let it be a smile
Let it be a farce, if it makes me laugh for a little while
Let it be a tear
Let it be a sigh
Coming from a heart, speaking to a heart, let it be a cry
Some streets are emptiness, dry leaves of autumn
Rustling down an old Alley
And in the dead of night, I find myself
A blind man in some ancient valley
I let the music speak, leading me gently
Urging me like a lover
Leading me all the way into a place
Where beauty will defeat the darkest day
Where I'm one with every grand illusion
No disturbance, no intrusion
Where I let the wistful sounds seduce me
I let them use me
(All illusion, no disturbance, no intrusion)
Let it be a joke
Let it be a smile
Let it be a farce, if it makes me laugh for a little while
Let it be a tear
Let it be a sigh
Coming from a heart, speaking to a heart, let it be a cry
Let it be a tear
Let it be a sigh
Coming from a heart, speaking to a heart, let it be a cry
Let it be the joy of each new sunrise
Or the moment when a day dies
I surrender without reservation
No explanations
No questions why
I take it to me and let it flow through me
Yes, I let the music speak
I let the music speak",1633,20,0,0,0
as-i-read-my-s-a,2006,gangstarr,Hip-Hop,"Paragraphs, portraying my viewpoint
So stay attentive, cause this is a new joint
From the G-A-N-G with the info
Lyrical elements emerge from the intro
Forming a poetic mass over pathetic trash
Other writers are outclassed
Surpassed by the words and the wit
Rhymes fit and hit cause that's how we designed it
Page for page, we are the new age
Dope in the videos and dope when we're on stage
Commanding respect with my ink pen while suckers are sinking
As I'm keeping them thinking
Narrating phrases of value, and I can see now you
Relate to what I create
From back in the days of my youth, I've looked for the truth
And yo my rhymes are the real proof
New heights and new realms have been reached
By use of my speech along with one of Premier's beats
So listen and we'll show you the best way
And then sway, as I read my S-A
Worshipful words giving insight, so just be observant
So you can get this right
My oratory gift is abundant, so dazzling to minds
That you should come get
A glimpse of the one who puts wimps out of work
The script is a mess and they dress like they're jerks
Beyond them, is where I'll be dwellin
The Guru will tell em, why their records ain't sellin
Placin my fingers on the tool, I runaway all fools
When I'm dispersin a verse
Think of an enjoyable moment, then boogie your body
Cause this party I own it
The origin of this is on paper
Vibes will ascend from my mind to each line
I go with the flow as I show expertise
The powers increase as my voice hits the streets
Then gripping your soul with authority
I pour these rhymes in a cup so drink up
And then I might bring another round
Watch the sound pound from the floor to the ground
And keep aware, cause we'll show you the best way
And then sway, as I read my S-A",1742,14,0,0,5
watch-out,2006,abba,Pop,"You move like a flame of fire
Your eyes like a flash of lightning
You lie since you're cold inside
And I'm gonna tame you, wild thing
You'd better watch out
I said you'd better watch out
Watch out
Anywhere you go I'll find you
Watch out
I'll be staying close behind you
And I've tired of waiting (Oh-a-la-la)
Yes it's driving me crazy (Oh-a-la-la-la)
And my patience is fading (Oh-a-la-la)
Oh, you'd better watch out
I said you'd better watch out
You speak and you're funny lately
You act like I was a stranger
I think you're beginning to hate me
But then you're a girl in danger
You'd better watch out
Ooh, I said you'd better watch out
Watch out
Anywhere you go I'll find you
Watch out
I'll be staying close behind you
And I've tired of waiting (Oh-a-la-la)
Yes it's driving me crazy (Oh-a-la-la-la)
And my patience is fading (Oh-a-la-la)
So you'd better watch out
Yes I said you'd better watch out
Watch out
Watch out
And I've tired of waiting (Oh-a-la-la)
Yes it's driving me crazy (Oh-a-la-la-la)
And my patience is fading (Oh-a-la-la)
I said you'd better watch out
Oh girl you'd better watch out
Ah, you'd better watch out
Oh, ah, you'd better watch out",1159,6,0,0,30
