number,name,name_object,date,author,address,district,protection_category,base,note,id_object
758,Обуховская больница,Сады,кон. 18 в. - сер. 20 в.,автор не установлен,"Загородный пр., д. 47",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-161 от 17.04.2015,,1060
759,Обуховская больница,Ограда,1839,автор не установлен,"Загородный пр., д. 47",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-161 от 17.04.2015,,1063
760,Обуховская больница,Бюст Н.И.Пирогова,1932,"скульптор И.В. Крестовский, арх. Л.В. Руднев","Загородный пр., д. 47 (на территории)",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-161 от 17.04.2015,,10606
761,Обуховская больница,Главное здание,1782-1787; 1924 (перепланировка); 1950-е (надстройка),"арх. Джакомо Кваренги(?); арх. Д.В. Красовский, И.Г. Капцюг","Загородный пр., д. 47, литера А",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-161 от 17.04.2015,,1059
762,Обуховская больница,Корпус в память принца П.Г.Ольденбургского,1864-1866,арх. И.В. Штром,"Загородный пр., д. 47, литера А (корпус со стороны Введенского канала)",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-161 от 17.04.2015,,1062
763,Обуховская больница,Женское отделение,1836-1839; 1926 (перепланировка),арх. П.С. Плавов,"Загородный пр., д. 47, литера Б",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-161 от 17.04.2015,,1061
764,Обуховская больница,Приемный покой,1936-1939,арх. Я.М. Коварский,"Загородный пр., д. 47, литера В",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-161 от 17.04.2015,,10600
765,Обуховская больница,Виварий,2-я пол. 1930-х,автор не установлен,"Загородный пр., д. 47, литера Д (двухэтажный корпус)",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-161 от 17.04.2015,,10601
766,Обуховская больница,Санитарно-химический институт,1934,автор не установлен,"Загородный пр., д. 47, литера Д (четырехэтажный корпус)",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-161 от 17.04.2015,,10602
767,Обуховская больница,Корпус,1900-е,автор не установлен,"Загородный пр., д. 47, литера И",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-161 от 17.04.2015,,10603
768,Обуховская больница,Корпус,1913,арх. Н.К. Красовский,"Загородный пр., д. 47, литера Л",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-161 от 17.04.2015,,10604
769,Обуховская больница,Прачечная с квартирами служащих,кон. 18 в.,автор не установлен,"Загородный пр., д. 47, литера М",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-161 от 17.04.2015,,10605
770,,"Здание заводоуправления Товарищества табачной фабрики ""А.Н.Шапошников и Ко""",1879-1880,арх. П. С. Самсонов,"Санкт-Петербург, Клинский пр., д. 25, литера А",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-491 от 04.10.2013,,663
771,,Дом Ц.А.Кавоса,кон. 18 - нач. 19 в.; 1853,арх. Ц.А. Кавос (1853),"Санкт-Петербург, Садовая ул., д. 73, литера А",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-647 от 16.10.2014,,933
772,,Доходный дом Успенской церкви,1878-1880,арх. Г.И. Карпов,"Санкт-Петербург, Садовая, дом 40, литера Б",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-528 от 13.11.2015,,921
773,,Сельдяной ряд Никольского рынка,1790-е; 2-я пол. 19 в. - нач. 20 в.; 1930-1950,"арх. Г.-Х. Паульсен (?), гражд. инж. М.М. Лаговский, техники Б.Е. Фурман, А.И. Рейнбольдт, И.И. Соколов (кон. 19 - нач. 20 в.)","Санкт-Петербург, Щепяной пер., дом 4-6, литера А",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП  № 10-168 от 29.04.2016,,1048
774,,Товарный пакгауз (южный) Варшавского вокзала,2-я пол. 19 в.,,"Санкт-Петербург, наб. Обводного канала, д. 118, к. 3, лит. Г4",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-581 от 19.11.2013,,826
775,,Поворотный круг  Варшавского вокзала,2-я пол. 19 в.,,"Санкт-Петербург, наб. Обводного канала, д.118 (адрес земельного участка - Санкт-Петербург, участок ж/д ""Балтийский вокзал-М.Митрофаньевская ул."", участок 2)",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-581 от 19.11.2013,,828
776,,Здание электростанции Санкт-Петербургской станции Санкт-Петербургско-Варшавской железной дороги,,,"Санкт-Петербург, наб. Обводного канала, д.118а, литера АЕ",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-346 от 18.07.2013,,10328
777,,Доходный дом и издательство С.М. Проппера,"кон. 18 - нач. 19 в.; 1881; 1905-1907, 1910","гражд. инж. А.И. Петров (1881); гражд. инж. М.Ю. Капелинский (1905-1907, 1910)","Санкт-Петербург, набережная Адмиралтейского канала, дом 15, литера А (Галерная ул., 40; Адмиралтейского кан. наб., 15)",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП от 29.01.2013 № 10-31,,10325
778,,"Дом А.Я.Шагина (Зыковых), где располагалась редакция журнала ""Русская старина""",1798-1806,,"Санкт-Петербург, набережная реки Фонтанки, дом 145б, литера А",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-62 от 11.02.2015,,10370
779,,Дом А.Б.Фитингофа,1855-1856,арх. К.К. Андерсон,"Санкт-Петербург, ул. Глинки, дом 1, литера А",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-634 от 03.10.2014,,758
780,,Здание еврейского ремесленного училища,1896-1897,арх. Б.И. Гиршович,"Санкт-Петербург, ул. Декабристов, д. 42; Лермонтовский пр., д. 2",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-403 от 17.07.2014,,568
781,,Дом купца Скрябина Калинкинского пивоваренного завода,1820-е,,"Санкт-Петербург, ул. Степана Разина, д. 9, литера Б",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-821 от 19.12.2014,,972
782,,Бондарная мастерская Калинкинского пивоваренного завода,1901,гражд. инж. А.А. Гимпель,"Санкт-Петербург, ул. Степана Разина, д. 9, литера Г",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-821 от 19.01.2014,,977
783,,Производственный корпус (лицевой фасад с дымовой трубой) Калинкинского пивоваренного завода,1910-е,гражд. инж. В.Н. Куцкевич,"Санкт-Петербург, ул. Степана Разина, д. 9, литера Ф",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-821 от 19.01.2015,,979
784,,Здание бродильного цеха Калинкинского пивоваренного завода,1862; 1873-1876,арх. Л.Л. Бонштедт; арх. Э.Г. Юргенс,"Санкт-Петербург, ул. Степана Разина, д.8а, литера Б",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-821 от 19.12.2014,,975
785,,Водонапорная башня Новых городских скотобоен,1880-1882,инж.п.с. М.Ф.Петерсон,"Санкт-Петербург, ул.Красуцкого, дом 3, литера В",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-20 от 24.01.2013,,702
786,,Дома С.П.Горсткина,1874-1875,арх. Г.И. Карпов,"Санкт-Петербург, улица Ефимова, дом 5, литера А; улица Ефимова, дом 6, литера А",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-159 от 27.04.2016,,997
787,Дома С.П.Горсткина,Жилой дом,1874-1875,арх. Г.И. Карпов,"Санкт-Петербург, улица Ефимова, дом 5, литера А; улица Ефимова, дом 6, литера А",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-159 от 27.04.2016,,998
788,Дома С.П.Горсткина,Жилой дом,1874-1875,арх. Г.И. Карпов,"Санкт-Петербург, улица Ефимова, дом 5, литера А; улица Ефимова, дом 6, литера А",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-159 от 27.04.2016,,999
789,,Сарай для императорских поездов Варшавского вокзала,2-я пол. 19 в.,,"Санкт-Петербург, участок ж/д ""Варшавский вокзал - М.Митрофаньевская ул."", лит.Б",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-581 от 19.11.2013,,829
790,,Товарная контора Варшавского вокзала,2-я пол. 19в.,,"Санкт-Петербург, участок ж/д ""Варшавский вокзал - М.Митрофаньевская ул."", лит.Л",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-581 от 19.11.2013,,10331
791,,Скверы на Семеновской площади (два),"1904-1905, сер. 20 в. (реконструкция)",городской садовник В.И. Визе,"Семеновская пл., между домами 90 и 92 по наб. р. Фонтанки",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 8-251 от 06.12.2007,,1065
792,,Дом Общества гражданских инженеров (клуб и гостиница),1901-1902,гражд. инж. И.Ю. Мошинский,"Серпуховская ул., 10, лит. А",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-22 от 21.07.2009,,943
793,,Дом А.П. Короткова,1909,арх. М.Х. Дубинский,"Серпуховская ул., 14",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,944
794,,Дом Захаровых,1912-1913,гражд. инж. А.А. Захаров,"Серпуховская ул., 19; Клинский пр., 17; Бронницкая ул., 16",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,945
795,,Особняк и зрительный зал А.Н. Виноградова,1886,инж.-арх. В.Ф. Пруссак,"Серпуховская ул., 38; Малодетскосельский пр. 15",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,946
796,,"Дом Н.Ф.Целибеева. Здесь в 1906-1918 гг. размещалось первое в России высшее техническое учебное заведение для  женщин – Санкт-Петербургские Женские Политехнические курсы,  преобразованные в 1915 г. в Петроградский Женский политехнический институт",кон. 1840-х -нач. 1850-х; 1904-1905,арх. В.Б. Морган; арх. А.И. Ширшов,"Серпуховская ул., д. 2/68, лит. А",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 69-р от 10.02.2017,,615
797,,Дома Гутманов,"1822, 1912-1913","арх. И.И. Долгинов,  А.Е. Штауберт (?)","Союза Печатников ул., 10, 10а; Лермонтовский пр., 8",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,948
798,Дома Гутманов,Дом А.Я. и С.А. Гутманов,1912-1913,арх. И.И. Долгинов,"Союза Печатников ул., 10",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,949
799,Дома Гутманов,Дом А.Л. и Л.А. Гутманов,1822; 1912-1913,арх. А.Е. Штауберт (?); арх. И.И. Долгинов,"Союза Печатников ул., 10а; Лермонтовский пр., 8",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,950
800,,"Дом, в котором в 1919-1958 гг. жил советский скульптор С.А. Евсеев",,,"Союза Печатников ул., 17",Адмиралтейский,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 124 от 27.02.1989,,351
801,,Храм Святого Станислава,"1823-1825; 1827; 1885, 1950",арх. Висконти Д.И.; арх. Шарлемань И.И. 1-й,"Союза Печатников ул., 22; Мастерская ул., 7",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,352
802,,"Дом, где жили в 1824 г. писатель Грибоедов А.С. и поэт, декабрист Одоевский А.И.",,,"Союза Печатников ул., 5",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,350
803,,Дом Е.М. Эльманович,кон. 18 в.; 1830-е; 1866-1867,арх. Н.В. Трусов (1866-1867),"Союза Печатников ул., 9; Лермонтовский пр., 6",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,947
804,,Дом Ц.А. Кавоса (А. И. Суслова),сер. 18 в.; 1858-1860; 1911,арх. Ц.А. Кавос (1858-1860); гражд. инж. С.М. Беляков (1911),"Спасский пер., 10",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,953
805,,Дом Дехтерева,1810-е,,"Спасский пер., 11 (б. ул. Петра Алексеева)",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 141-47 от 02.07.1997,,353
806,,Дом А.Н. Успенской,сер. 18 в.; 1913,арх. К.В. Маковский (1913),"Спасский пер., 4",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,952
807,,Дом Е.Н. Корево,кон. 18 - нач. 19 в.; 1902,гражд. инж. В.А. Лучинский (1902),"Средняя Подьяческая ул., 11",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,883
808,,Жилой дом,кон. 18 - нач. 19 в.,,"Средняя Подьяческая ул., 4",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,880
809,,Дом П.А. Федотова,нач. 19 в.; 1912,арх. В.Н. Бобров (1912),"Средняя Подьяческая ул., 5",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,881
810,,Жилой дом,нач. 19 в.,,"Средняя Подьяческая ул., 7",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,882
811,,Дача Строгановых,1765; 19 в. кон.,автор не установлен,"Старо-Петергофский пр., 20",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,355
812,Дача Строгановых,Две кордегардии,1765,автор не установлен,"Старо-Петергофский пр., 20",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,10509
813,Дача Строгановых,Ворота,1765,автор не установлен,"Старо-Петергофский пр., 20",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,356
814,Дача Строгановых,Жилой дом,1765,автор не установлен,"Старо-Петергофский пр., 20",Адмиралтейский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,357
815,,"Жилой комплекс фабрики ""Красный треугольник""",1927,арх. И.Г. Лангбард,"Старо-Петергофский пр., 21; Курляндская ул., 40",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,960
816,"Жилой комплекс фабрики ""Красный треугольник""",Шесть жилых корпусов,1927,арх. И.Г. Лангбард,"Старо-Петергофский пр., 21; Курляндская ул., 40",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,961
817,"Жилой комплекс фабрики ""Красный треугольник""",Котельная с отдельно стоящей трубой,1927,арх. И.Г. Лангбард,"Старо-Петергофский пр., 21; Курляндская ул., 40",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,962
818,"Жилой комплекс фабрики ""Красный треугольник""",Здание бытового назначения,1927,арх. И.Г. Лангбард,"Старо-Петергофский пр., 21; Курляндская ул., 40",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,963
819,,Комплекс зданий Калинкинского военно-морского госпиталя,1-я четв. 19 - нач. 20 в.,воен. инж. М.А. Пасыпкин,"Старо-Петергофский пр., 2; Фонтанки р. наб., 156; Циолковского ул., 1, лит. А",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,954
820,Комплекс зданий Калинкинского военно-морского госпиталя,Главный корпус  (быв. Морские казармы),1845-1853; 1880,воен. инж. М.А. Пасыпкин (1845-1853),"Старо-Петергофский пр., 2; Фонтанки р. наб., 156",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,955
821,Комплекс зданий Калинкинского военно-морского госпиталя,Три лечебных корпуса,1902-1904,,"Старо-Петергофский пр., 2; Фонтанки р. наб., 156",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,956
822,Комплекс зданий Калинкинского военно-морского госпиталя,Сад,19 в.,,"Старо-Петергофский пр., 2; Фонтанки р. наб., 156",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,958
823,Комплекс зданий Калинкинского военно-морского госпиталя,Служебный корпус,1-я четв. 19 в.,,"Циолковского ул., 1, лит. А",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,957
824,,Жилой дом,1-я четв. 19 в.,,"Старо-Петергофский пр., 3-5, лит. А",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,959
825,,Комплекс построек Гальванопластического заведения герцога Лейхтенбергского (2 производственных корпуса и каменная ограда),1844-1846,арх. Ф.И. Руска,"Старо-Петергофский пр., 40",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,964
826,Комплекс построек Гальванопластического заведения герцога Лейхтенбергского (2 производственных корпуса и каменная ограда),Производственный корпус,1844-1846,арх. Ф.И. Руска,"Старо-Петергофский пр., 40",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,965
827,Комплекс построек Гальванопластического заведения герцога Лейхтенбергского (2 производственных корпуса и каменная ограда),Производственный корпус,1844-1846,арх. Ф.И. Руска,"Старо-Петергофский пр., 40",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,966
828,Комплекс построек Гальванопластического заведения герцога Лейхтенбергского (2 производственных корпуса и каменная ограда),Ограда,1844-1846,арх. Ф.И. Руска,"Старо-Петергофский пр., 40",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,967
829,,Ансамбль жилых домов площади Стачек,1935,"арх. Н.А. Троцкий, гражд. инж. А.В. Валевич","Старо-Петергофский пр., 43-45, 54; Перекопская ул., 1; Стачек пл., б/№",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,2784
830,Ансамбль жилых домов площади Стачек,Жилой дом,1935,"арх. Н.А. Троцкий, гражд. инж. А.В. Валевич","Перекопская ул., 1; Стачек пл., б/№",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,970
831,Ансамбль жилых домов площади Стачек,Жилой дом,1935,"арх. Н.А. Троцкий, гражд. инж. А.В. Валевич","Старо-Петергофский пр., 43-45; Стачек пл., б/№ (угловой дом)",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,968
832,Ансамбль жилых домов площади Стачек,Жилой дом,1935,"арх. Н.А. Троцкий, гражд. инж. А.В. Валевич","Старо-Петергофский пр., 54; Стачек пл., б/№ (дом по площади)",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,969
833,,"Здание кино-театра ""Москва""",1937-1939,"арх. Хидекель Л.М., ск. Крестовский И.В.","Старо-Петергофский пр., 6 (б. пр. Газа)",Адмиралтейский,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 744 от 21.08.1967,,354
834,,Калинкинский морской госпиталь,1-я четв. 19 - кон. 19 в.,"воен. инженеры Л.Л. Карбоньер, Де Брюнольд?; арх. Завьялов","Старо-Петергофский пр., 9а; наб. р. Фонтанки, 162",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-22 от 21.07.2009,,1015
835,Калинкинский морской госпиталь,"Служебная постройка (2-х этажная, деревянная)",кон. 19 в.,,"Старо-Петергофский пр., 9а, лит. Н",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-22 от 21.07.2009,,1018
836,Калинкинский морской госпиталь,Здание госпиталя,1-я четв. 19 в.; 1836-1838; 1890-1891; 1898,"воен. инженеры Л.Л. Карбоньер, Де Брюнольд ? (1836-1838); арх. Завьялов (1890-1891)","Старо-Петергофский пр., 9а; наб. р. Фонтанки, 162",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-22 от 21.07.2009,,1016
837,Калинкинский морской госпиталь,Сад,19 в.,,"Старо-Петергофский пр., 9а; наб. р. Фонтанки, 162",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-22 от 21.07.2009,,1019
838,,Столб верстовой,1770-х кон.,арх. Валлен-Деламот Ж.Б.,"Старо-Петергофский пр., у Старо-Калинкина моста",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,360
839,,Комплекс зданий и сооружений Калинкинского пивоваренного завода,1820-е - 1910-е,"арх. Л.Л. Бонштедт, Э.Г. Юргенс; гражд. инж. В.Р. Бернгард, А.А. Гимпель, В.Н. Куцкевич","Степана Разина ул., 8, 9, 11-13/36, 13; Курляндская ул., 48-50; Рижский пр., 80",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,971
840,Комплекс зданий и сооружений Калинкинского пивоваренного завода,Жилые казармы со службами,1891,гражд. инж. В.Р. Бернгард,"Степана Разина ул., 13",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,978
841,,Дома Н.И. Штерна и словолитня Ф. Марка,"1839, 1895, 1913","арх. А.Х. Пель, Р.И. Кригер; гражд. инж. Н.Д. Каценеленбоген","Столярный пер., 10-12; Гражданская ул., 16",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,980
842,Дома Н.И. Штерна и словолитня Ф. Марка,Угловой дом,1913,гражд. инж. Н.Д. Каценеленбоген,"Гражданская ул., 16; Столярный пер., 10",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,981
843,Дома Н.И. Штерна и словолитня Ф. Марка,Словолитня и механическая мастерская,1895,арх. Р.И. Кригер,"Гражданская ул., 16; Столярный пер., 10-12 (двор)",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,983
844,Дома Н.И. Штерна и словолитня Ф. Марка,Дом по Столярному переулку (быв. дом Грацинского),1839,арх. А.Х. Пель,"Столярный пер., 12",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,982
845,,"Дом, где жили: в 1881-1888 гг. - путешественник Пржевальский Н.М., в 1876-1877 гг. и в 1879-1880 гг. - писатель Успенский Г.И.",,,"Столярный пер., 6",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,361
846,,Памятник композитору Глинке М.И.,1906,"ск. Бах Р.Р., арх. Бах А.Р.",Театральная пл.,Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,362
847,,Памятник композитору Римскому-Корсакову Н.А.,1952,"ск. Боголюбов В.Я., ск. Ингал В.И., арх. Шепилевский М.А.",Театральная пл.,Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,363
848,,Театр Мариинский,"1847-1849, 1859; 1883-1886; 1894",арх. Кавос А.К.; арх. Шретер В.А.,"Театральная пл., 1",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,364
849,,Дом Ф.Л. Гуна (С.И. Андреева),кон. 18 в.; 1874-1875; 1909,арх. А.Л. Гун (1874-1875); гражд. инж. С.И. Андреев (1909),"Театральная пл., 2; Декабристов ул., 32",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,984
850,,Консерватория,1775-1783; 1802; 1835-1836; 1891-1896; 1912,арх. Ринальди А.; арх. Тома де Томан Ж.Ф.; арх. Кавос А.К.; гражд.инж. Николя В.В.; арх. Бардт Т.Я.,"Театральная пл., 3",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,365
851,,Дом Е.Т. Соколова (Бухгольца),нач. 19 в.; 1852-1853, арх. Е.Т. Соколов; арх. А.А. Пуаро,"Театральная пл., 4; Грибоедова кан. наб., 105",Адмиралтейский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,985
852,,"Александровская больница для рабочего населения в память 19-го февраля 1861 г. Комплекс с территорией, садом, оградами и постаментом от несохранившегося бюста имп. Александра II",19 в.,,"Троицкий пр., 1-3 (б. пр. Москвиной); Фонтанки р. наб., 132",Адмиралтейский,Объект культурного наследия регионального значения,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,,366
853,"Александровская больница для рабочего населения в память 19-го февраля 1861 г. Комплекс с территорией, садом, оградами и постаментом от несохранившегося бюста имп. Александра II",Здание аптеки и первого больничного здания с оградой по пр. Москвиной,19 в. 1-я пол.,,Троицкий пр. (б. пр. Москвиной),Адмиралтейский,Объект культурного наследия регионального значения,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,,369
854,"Александровская больница для рабочего населения в память 19-го февраля 1861 г. Комплекс с территорией, садом, оградами и постаментом от несохранившегося бюста имп. Александра II",Часовня у Троицкого собора,19 в. 1-я пол.,,"Троицкий пр., 1-3 (б. пр. Москвиной); Фонтанки р. наб., 132",Адмиралтейский,Объект культурного наследия регионального значения,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,,368
855,"Александровская больница для рабочего населения в память 19-го февраля 1861 г. Комплекс с территорией, садом, оградами и постаментом от несохранившегося бюста имп. Александра II","Главное здание с 6 флигелями, два здания кухни и прачечной",1864-1866,арх. Штром И.В.,"Фонтанки р. наб., 132",Адмиралтейский,Объект культурного наследия регионального значения,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,,10741
856,,"Дом, в котором в 1895 г. у М.А. Сильвина под руководством Ленина происходили встречи петербургских марксистов",,,"Троицкий пр., 5 (б. пр. Москвиной)",Адмиралтейский,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 124 от 27.02.1989,,374
857,,Здание мастерских Н.Е. Фрейберга (Глебовой),1898,арх. А.И. Рейнбольдт,"Троицкий пр., 6; 13-я Красноармейская ул., б/н",Адмиралтейский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-22 от 21.07.2009,,991
858,,Дворец Великого князя Николая Николаевича (Ксенинский институт),1853-1861,арх. Штакеншнейдер А.И.,"Труда пл., 4; Конногвардейский бульв., 19-23; Галерная ул., 22, 24, 24-б; Замятин пер., 5-7",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,375
859,Дворец Великого князя Николая Николаевича (Ксенинский институт),Корпус служебный,1853-1861,арх. Штакеншнейдер А.И.,"Галерная ул., 24, лит. В3",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,376
860,Дворец Великого князя Николая Николаевича (Ксенинский институт),Корпус для прислуги,1853-1861,арх. Штакеншнейдер А.И.,"Конногвардейский бульвар, 19, Замятин пер., 5-7",Адмиралтейский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,383
