oid,obj_type,name,short_name,name_en,type,address_manual,phone,www,email,description,description_en,obj_history,obj_history_en,obj_hints,work_time,work_time_en,coord
3309,Памятники,Памятник Николаю I,,Monument to Nikolay I,Обзорные,"г. Санкт-Петербург, Исаакиевская площадь/ St.Petersburg, St Isaac's Square",,,,"Памятник Николаю I установлен в 1859 году на Исаакиевской площади в Санкт-Петербурге. Расположен между Мариинским дворцом и Исаакиевским собором. 
Его начали строить в 1856 году после смерти императора по проекту архитектора Огюста Монферрана и открыли 25 июня (7 июля) 1859 года.

Памятник представляет собой 6-метровую конную статую Николая I работы П. К. Клодта, стоящую на пьедестале. Император изображён в парадном мундире Лейб-гвардии Конного полка. Четыре барельефа (три из них работы Н. А. Ромазанова, один — Р. К. Залемана), расположенные на постаменте, рассказывают о знаковых событиях правления Николая I:
- восстание декабристов в 1825 году;
- холерный бунт 1831 года на Сенной площади;
- награждение М. М. Сперанского, собравшего и издавшего в 1832 году «Свод законов Российской Империи»;
- открытие императором Веребьинского моста Петербург-Московской железной дороги в 1851 году.

Пьедестал памятника работы Огюста Монферрана имеет эллиптическую форму и изготовлен из малинового шокшинского кварцита и белого итальянского мрамора. Цоколь выполнен из серого сердобольского гранита.
Пьедестал памятника украшают четыре аллегорические женские фигуры работы Р. К. Залемана, олицетворяющие «Силу», «Мудрость», «Правосудие» и «Веру». Головы фигур являются портретными изображениями императрицы Александры Фёдоровны и дочерей Николая I — Марии, Александры и Ольги. Между двумя первыми статуями находится бронзовый позолоченный государственный герб, под которым расположена надпись: «Николаю I — Императору Всероссийскому. 1859-й». Конной натурой послужил любимый жеребец государя Амалатбек. Для своего времени памятник считался техническим чудом: это была первая в Европе конная статуя, поставленная на две точки опоры (задние ноги коня). Первоначально памятник не имел ограды, она была установлена позже.","The Monument to Nikolay I is a bronze equestrian monument St Isaac's Square (in front of Saint Isaac's Cathedral). Unveiled on July 7th  [O.S. June 25th] 1859, the six-meter statue was a technical wonder of its time. It was the first equestrian statue in Europe with only two support points (the rear hooves of the horse). 
The Neo-Baroque monument to the Russian ruler Nikolay I was designed by the architect Auguste de Montferrand in 1856. 

Height -16.3 meters full, equestrian statue is 6 meters.
Material - bronze is a sculpture, high reliefs, letters, a fencing; pedestal is a red, grey granite, the shohansky porphyry, the Italian marble.

Designer: Auguste de Montferrand is the project head, the architect.
Sculptors: Peter Klodt, Robert Salemann, Nicholas Ramazanov.","Памятник Николаю I на Исаакиевской площади
Николай I (1796-1855) – 11-й император Всероссийский, третий сын императора Павла I и Марии Фёдоровны; начал царствование с подавления восстания декабристов. Уникальность памятника Николаю I состоит в том, что тяжёлый всадник имеет всего две точки опоры (задние копыта коня). Устойчивость монументу придают пуды дроби, засыпанные в круп коня, а так же металлические столбы под копытами задних ног коня, идущие сквозь пьедестал до его основания. Николай I изображён в парадном мундире, на его голове – каска с орлом. Пьедестал монумента украшают аллегорические фигуры Веры, Мудрости, Правосудия, Силы. Лица фигур имеют сходство с чертами жены и дочерей императора. Высота конной статуи 6 м, общая высота памятника 16,3 м. Открыт 25 июня 1859 г. Архитектор: О. Монферран, скульптор: П. Клодт","Monument to Nikolay I on Isaakiyevskaya Square
Nikolay I (1796-1855) – the 11th emperor Vserossiysky, the third son of the emperor Pavel I and Maria Fyodorovna; I began reign with Decembrist uprising suppression. Uniqueness of a monument to Nikolay of I consists that the heavy rider has only two points of support (back hoofs of a horse). Stability the poods of the fraction which have been filled up in a croup of a horse, and as give to a monument metal columns under hoofs of hind legs of the horse, going through a pedestal to its basis. Nikolay of I is represented in a smart uniform, on his head – a helmet with an eagle. Pedestal of a monument Vera's allegorical figures, Wisdom, Justice decorate, Forces. Persons of figures have similarity to lines of the wife and daughters of the emperor. Height of an equestrian statue is 6 m, the general height of a monument is 16,3 m. It is open on June 25, 1859. Architect: O. Montferrand, sculptor: P. Klodt",,24 часа,24 hours,"59.932083,30.308451"
3310,Памятники,Памятник Петру I на Сенатской площади (Медный всадник),,The Monument to Peter I on Senate Square (The Bronze Horseman),Обзорные,"г. Санкт-Петербург, Сенатская площадь",,,,"Ме́дный вса́дник — памятник Петру I на Сенатской площади в Санкт-Петербурге.
Открытие памятника состоялось 7 августа (18 августа) 1782 года. Является самым первым памятником в Санкт-Петербурге. Позднее получил своё название благодаря знаменитой одноимённой поэме А. С. Пушкина, хотя на самом деле изготовлен из бронзы.
Модель конной статуи Петра выполнена скульптором Этьеном Фальконе в 1768—1770. Голову статуи лепила ученица этого скульптора, Мари Анн Колло. Змею, по замыслу Фальконе, вылепил Фёдор Гордеев. Отливка статуи осуществлялась под руководством литейных дел мастера Екимова Василия Петровича и была закончена в 1778 году. Архитектурно-планировочные решения и общее руководство осуществлял Юрий Фельтен.
Надпись на постаменте гласит: «ПЕТРУ перьвому ЕКАТЕРИНА вторая лѣта 1782.» с одной стороны, и «PETRO primo CATHARINA secunda MDCCLXXXII.» — с другой, подчеркивая тем самым замысел императрицы: установить линию преемственности, наследия между деяниями Петра и собственной деятельностью.
Гром-камень для постамента был найден в окрестностях деревни Конная Лахта.","The Bronze Horseman is an equestrian statue of Peter the Great in Saint Petersburg, Russia. Commissioned by Catherine the Great, it was created by the French sculptor Étienne Maurice Falconet. The name comes from an 1833 poem of the same the name by Aleksander Pushkin, which is widely considered one of the most significant works of Russian literature.
The equestrian statue of Peter the Great is situated in the Senate Square (formerly the Decembrists Square), in Saint Petersburg. Catherine the Great, a German princess who married into the Romanov line, was anxious to connect herself to Peter the Great to gain legitimacy in the eyes of the people. She ordered its construction, and had it inscribed with the phrase Petro Primo Catharina Secunda MDCCLXXXII in Latin and Петру Перьвому Екатерина вторая, лѣта 1782 in Russian, both meaning 'Catherine the Second to Peter the First, 1782', an expression of her admiration for her predecessor and her view of her own place in the line of great Russian rulers.
 
For the pedestal, an enormous boulder known as the Thunder Stone (Russian: Гром-Камень) was found at Lakhta, 6 km (3.7 mi) inland from the Gulf of Finland in 1768.","Памятник Петру I на Сенатской площади
Пётр Великий (1672-1725) — первый император всероссийский и основатель Санкт-Петербурга. Памятник был заказан Екатериной II, пожелавшей укрепить своё право на наследование императорского престола надписью на постаменте: «Петру Первому – Екатерина Вторая». Бронзовый конь, установленный на цельной гранитной глыбе, является олицетворением смелых начинаний Петра I. Задними ногами конь попирает змею – символ косности, зависти и злобы. Скульптор писал о памятнике: «Царь простирает свою благодетельную десницу над объезжаемой им страной. Он поднимается наверх скалы, служащей ему пьедесталом, - это эмблема побеждённых им трудностей». С лёгкой руки А.С. Пушкина памятник получил неофициальное название «Медный всадник». Памятник Петру I на Сенатской площади занимает исключительное место в истории русской монументальной скульптуры — это первый скульптурный памятник в Петербурге и России. Открыт 7 августа 1782 г. Скульптор: Э.М. Фальконе","Monument to Peter I on Senate Square
Pyotr Veliky (1672-1725) — the first emperor All-Russian and the founder of St. Petersburg. The monument was reserved by Catherine II, wished to strengthen the right for inheritance of an imperial throne by an inscription on a pedestal: ""To Peter I – Ekaterina the Second"". The bronze horse established on an integral granite block, is an embodiment of courageous undertakings of Peter I. Hind legs the horse tramples on a snake – a symbol of stagnancy, envy and rage. The sculptor wrote about a monument: ""The tsar stretches the beneficial right hand over the country gone round by it. It rises on the top of the rock, serving to it a pedestal, is an emblem of the difficulties won by it"". From A.S. Pushkin's easy hand the monument received the informal name ""Bronze Horseman"". The monument to Peter I on Senate Square takes an exclusive place in the history of the Russian monumental sculpture — it is the first sculptural monument in Petersburg and Russia. It is open on August 7, 1782. Sculptor: E.M. Falcone",,круглосуточно,24 hours,"59.936350,30.302636"
3311,Памятники,"Памятный знак ""Стрелка Васильевского острова""",,"Memorable sign ""Spit of Vasilyevsky Island""",Обзорные,"г. Санкт-Петербург, Биржевая площадь",,,,"Стрелка Васильевского острова — восточная оконечность Васильевского острова в Санкт-Петербурге; один из самых завораживающих архитектурных ансамблей города; пример гармонии архитектуры города с пейзажем берегов Невы. На набережной Невы возвышаются две Ростральные колонны, гигантские маяки высотой 32 метра. Композиционный центр ансамбля - здание Фондовой Биржи (архитектор Тома де Томон), на аттиках которого находятся скульптуры ""Нептун с двумя реками"" и ""Навигация с Меркурием и двумя реками"".",The architectural complex on Vasilievsky Island Spit is one of St.Petersburg's most beaautiful spots. The two 32-meter-tall Rostral Columns on the Neva banks look like huge lighthouses. The white colonaded Stock Exchange (architect Thomas de Thomon) with its sculptures Neptune and Two Rivers  and The Navigation with Mercury and Two Rivers comprises the compositional center of the complex.,"Памятный знак представляет собой горизонтально размещённый бронзовый барельеф на гранитном основании, на котором изображён комплекс зданий ансамбля Стрелки Васильевского острова, в которых исторически размещались таможенные службы Санкт-Петербурга. Памятный знак был установлен в честь 300-летия Санкт-Петербурга и является даром городу от Северо-Западного таможенного управления. По сложившейся традиции, туристы оставляют на памятнике монетку - чтобы вернуться сюда ещё раз. Открыт 14 ноября 2003 г. Архитектор: Ю.А. Никитин, скульпторы: А.С. Кунац, Д.М. Никитин, дизайнер: А.В. Тимофеев","The memorable sign represents horizontally placed bronze bas-relief on the granite basis on which the complex of buildings of Spits of Vasilyevsky Island ensemble in which customs services of St. Petersburg historically took place is represented. The memorable sign was established in honor of the 300 anniversary of St. Petersburg and is gift to the city from Northwest customs office. By convention, tourists leave a coin on a monument - to return here once again. It is open on November 14, 2003. Architect: Yu.A. Nikitin, sculptors: A.S. Kunats, D. M. Nikitin, designer: A.V. Timofeyev",,круглосуточно,24 hours,"59.94411,30.307055"
3315,Памятники,Маски львов на Стрелке Васильевского острова,,Sculpture - the head of a lion,Тематический,,,,,,,Стрелка В.О. Маска льва,Shooter V. O. Maska of a lion,,,,"59.944218,30.30747"
3316,Памятники,Львы Ши-Цза,,Shi-tsza sculptures,Тематический,"г. Санкт-Петербург, Петровская наб.",,,,"Ши-Цзы или Ши-Цза – это фигурки фантастических существ, которые напоминают львов и лягушек в одном образе. Их привезли в культурную столицу в 1907 году из далекой Маньчжурии. С тех пор они расположены напротив домика императора России Петра I и оберегают спуск к водам Невы. Мифологические создания были стражами семейного очага.Фигуры высотой 4,5 метра и весом каждой 2 400 кг выполнены из серого маньчжурского гранита.","Shi-Zi or Shi-Za is figures of fantastic beings that have a look of lions and frogs in one image. They were brought to the cultural capital in 1907 from remote Manchuria. Since then they are located opposite to a lodge of the emperor of Russia Peter I and preserve descent to waters of Neva. Mythological creations were guards of the family hearth. Figures 4,5 meters high and 2 400 kg each are made of gray Manchurian granite.","При спуске к Неве на Петровской набережной напротив Домика Петра I установлены два гранитных мифологических льва-стража Ши-цза. Скульптуры имеют высоту порядка 5 метров, весом около 2.5 тонн каждая. Ши-цза были изготовлены из маньчжурского гранита в г. Гирин специально для небольшого храма генерала Чана, однако после его внезапной смерти в 1904 году скульптуры были подарены помощнику приамурского генерал-губернатора Н.И. Гродекову, который решил передать их в дар Санкт-Петербургу. Для Ши-цза в Петербурге были изготовлены гранитные постаменты, на которых высечены слова: «Ши-цза из города Гирина в Маньчжурии перевезена в Санкт-Петербург в 1907 году. Дар генерала от инфантерии Н.И. Гродекова». Было принято решение установить скульптуры на недавно облицованной гранитом Петровской набережной. Изготовлены в начале 20 в.","During descent to Neva on Petrovskaya Embankment opposite to Cabin of Peter the Great Shi-tsza two granite mythological lions guards are established. Sculptures have height about 5 meters, weighing about 2.5 tons everyone. By Shi-tsza were made of Manchurian granite to Girin specially for the small temple of the general Chang, however after his sudden death in 1904 of a sculpture were presented to the assistant to the priamursky governor general N. I. Grodekov who decided to donate them to St. Petersburg. For Shi-tsza in Petersburg granite pedestals on which words are cut were made: ""Shi-tsza from the city of Girin in Manchuria is transported to St. Petersburg in 1907. Gift of the general from N. I. Grodekov's infanteriya"". The decision to establish sculptures on Petrovskaya Embankment recently revetted with granite was made. Are made at the beginning of 20 century.",,,,"59.952777,30.331535"
3320,Памятники,Здание Штаба Гвардейского корпуса,,Staff of the Guards Case,Обзорные,"г. Санкт-Петербург, Дворцовая площадь, 4",,,,,,Построен в 1837-1843 гг. Архитектор: А.П. Брюллов,It is constructed in 1837-1843. Architect: A.P. Bryullov,,,,"59.939983,30.317273"
8899,Памятники,Александру Невскому,,To Alexander Nevsky,,"г. Санкт-Петербург, пл. Александра Невского;
г. Пушкин, Софийская пл., в ограде Софийского собора",,,,"Александр Невский - cвятой великий князь. Сын великого князя Ярослава Всеволодовича. В 1236-1251 гг. князь новгородский, с 1252 г. великий князь Владимирский. Одержал победы: над шведами в Невской битве 1240 г. и ливонскими рыцарями в Ледовом побоище 1242 г.

Открыт 12 сентября 1990 г.
Скульптор: Козенюк Валентин Григорьевич
Материалы: бронза – бюст; гранит – постамент; металл – конструкции декоративной арки-сени.
Высота бюста – 0,8 м, высота постамента — 3,8 м.

Подписи: на плинте бюста справа: Ск. Козенюк. 1985 г.
Надписи: на кольце в арке литыми знаками: 1240 – 1990; на бюсте литыми знаками: Александр / Невский

Памятник установлен к 750-летию Невской битвы 1240 года, по инициативе и при участии Колпинского художественно-проектного кооператива «Зодчий». Бюст Александра Невского представляет собой часть проекта конной статуи, представленного скульптором В. Г. Козенюком на конкурс памятника Великому князю в 1990 г. и получившего вторую премию.","Alexander Nevsky was a saint grand duke, son of the grand duke Yaroslav Vsevolodovich. In 1236-1251 he was the prince of Novgorod, since 1252 - the grand duke of Vladimir. He secured the victories over Swedes in the Nevsky fight of 1240 and the Livonian knights in the Battle on the Ice of 1242.

Opened: September 12, 1990.
Sculptor: Valentin Grigoryevich Kozenyuk  (1938-1997)
Materials: bust - bronze; pedestal - granite; constructions of a decorative arch shade - metal.
Bust height – 0,8 m, pedestal height — 3,8 m.

The monument was erected to commemorate the 750 anniversary of the Battle of the Neva of 1240, upon the initiative and with the assistance of Kolpino art and design cooperative society ""Zodchy"". Alexander Nevsky's bust is a part of the project of an equestrian statue presented in 1990 by the sculptor V.G. Kozenyuk on a contest for a monument in honor of the grand duke (it took second prize).",,,,Круглосуточно,24 hours,"55.797154,37.928964"
8900,Памятники,Алексееву В. П.,,To Alekseev V.P.,,"г. Санкт-Петербург, пр. Стачек, Сад 9-го Января",,,,"Алексеев Василий Петрович (1896-1919) - рабочий Путиловского завода, член Нарвского райкома РСДРП, один из организаторов Петроградского социалистического союза рабочей молодежи. Участник гражданской войны, в 1919 г. председатель Гатчинского ревкома. Умер от тифа.

Открыт в 1928 г.
Скульптор: Харламов Матвей Яковлевич 
Материалы: бронза – бюст; гранит серый, полированный, кованый – постамент.
Высота бюста — 0,8 м, высота постамента – 2 м.

Надписи: на постаменте с лицевой стороны врезными тонированными знаками: Вася Алексеев / Один из основателей / комсомола / род. 1897 г. / ум. 1919 г.
Первоначально памятник В. П. Алексееву в 1928 г. был установлен перед зданием, где в августе 1917 г. проходил VI съезд партии большевиков (Алексеев был его участником). В связи со строительством на этом месте Дворца культуры им. А.М. Горького и реконструкцией площади Стачек в 1930-е гг. памятник был перенесен в Сад 9-го января. В 1989 и 1990 гг. бюст сбрасывался с постамента, вследствие чего Государственный музей городской скульптуры перенес его в свои фонды. В настоящее время в Саду 9-го Января установлена гипсовая копия бюста.","Alekseev Vasily Petrovich (1896-1919) was the worker of Putilovsky plant, member of the Narva district committee of the Russian Social Democratic Labor Party, one of the organizers of the Petrograd socialist union of young workers. The participant of the civil war, in 1919 - the chairman of the Gatchina revolutionary committee. Died of typhus.

Address of the monument: Stachek pr., Devyatogo Yanvarya Garden

Opened: 1928 
Sculptor: Matvei Kharlamov
Materials: bust - bronze; pedestal -  gray, polished, shod granite.
Bust height — 0,8 m, pedestal height – 2 m.

Originally the monument to V. P. Alekseev was installed in 1928 in front of the building where in August, 1917 the VI congress of Bolsheviks took place (Alekseev was its participant). Due to the construction of the cultural center n.a. A.M. Gorky on this spot and the reconstruction of Stachek Square in the 1930th, the monument was transferred to Devyatogo Yanvarya garden. In 1989 and 1990 the bust was thrown off from a pedestal, and as a result the State Museum of Urban Sculpture transferred it to its funds. Now there is a plaster copy of a bust instead of it in the Devyatogo Yanvarya garden.",,,,Круглосуточно,24 hours,"59.886036,30.265230"
8901,Памятники,"Алексею Николаевичу, цесаревичу",,To the Crown Prince Alexey Nikolaevich,,"г. Петродворец, парк Александрия, у дворца ""Коттедж""",,,,"Алексей Николаевич, великий князь (1904-1918). Цесаревич, сын императора Николая II и императрицы Александры Федоровны. Святой российский страстотерпец.

Открыт в 1994 г.
Скульптор: Зайко В. В.
Материалы: бронза – скульптура; мрамор – постамент.
Высота скульптуры — 1,5 м, высота постамента — 1,2 м.

Подписи: на тыльной стороне скульптуры факсимиле Зайко В. В.

Памятник цесаревичу Алексею Николаевичу поставлен в петергофском парке Александрия. Здесь на берегу залива находилась разрушенная в 1941-1944 гг. т.н. Нижняя дача (1883-1885 гг., арх. А. И. Томишко), где 30 июля (12 августа) 1904 г. родился наследник престола. Инициатива создания памятника принадлежит Государственному музею-заповеднику «Петергоф», средства на сооружение предоставил петербургский филиал АвтоВАЗбанка. Скульптура отлита в мастерской Политехнического института. Установлена на мраморном постаменте XIX в.","Alexey Nikolaevich was the grand duke (1904-1918), Crown Prince, son of the emperor Nicholas II and the empress Aleksandra Fiodorovna, a saint Russian passion bearer.

Address: Petrodvorets, Alexandria park, near the Cottage palace

Opened: 1994.
Sculptor: Zayko V.V.
Materials: sculpture - bronze; pedestal - marble.
Sculpture height — 1,5 m, pedestal height — 1,2 m.

The monument to the Crown Prince Alexey Nikolaevich was instlled in the Peterhof park Alexandria. Here, on the bank of the gulf, there was a so-called Lower cottage (1883-1885, architect A.I. Tomishko), destroyed in 1941-1944, where on July, 30  (August, 12), 1904 the successor to the throne was born. The initiative of creating a monument belongs to the State museum-preserve ""Peterhof"". The sculpture was cast in the workshop of the Polytechnical institute. It was fixed on a marble pedestal that dates back to the XIX century.",,,,Круглосуточно,24 hours,"59.880703,29.939896"
8903,Памятники,Ахматовой А. А.,,To Akhmatova A.A.,,"г. Санкт-Петербург, ул. Восстания, 8",,,,"Ахматова (Горенко) Анна Андреевна (1889-1966). Русский поэт, жизнь и творчество которой тесно связаны с Петербургом-Ленинградом и Царским Селом (г.Пушкин), где Ахматова жила до 1916 г. 

Открыт 2 сентября 1991 г.
Скульптор: Трояновский В. И. 
Архитектор: Васильковский В. С.
Материалы: гранит серый, кованый — скульптура, постамент.
Высота скульптуры — 2,5 м, высота постамента — 0,5 м.

Подписи: на плинте скульптуры справа врезными знаками: Трояновский.
Надписи: на постаменте врезными тонированными знаками с лицевой стороны: Анна /Ахматова; с левой стороны: В дар гимназии /от фирмы «Индэкс».

Гранитная скульптура А. А. Ахматовой вырублена скульптором В. И. Трояновским в 1989 г. к 100-летию со дня рождения поэта. Статуя приобретена у автора руководством фирмы «Индэкс» и передана в дар гимназии № 209, перед зданием которой установлена.","Akhmatova (Gorenko) Anna Andreevna (1889-1966) was a Russian poet, whose life and creativity are closely connected with St. Petersburg-Leningrad and Tsarskoye Selo (Pushkin) where Akhmatova lived till 1916. 

Address of the monument: Vosstaniya st., 8

Opened: September 2, 1991.
Sculptor: Troyanovsky V. I. 
Architect: Vasilkovsky V. S.
Materials: sculpture, pedestal - gray, shod granite. 
Sculpture height — 2,5 m, pedestal height — 0,5 m.

The granite sculpture of A. A. Akhmatova was made by the sculptor V. I. Troyanovsky in 1989 and dedicated to the 100 anniversary of the poet's birth.",,,,Круглосуточно,24 hours,"55.836029,49.098697"
8904,Памятники,Бабушкину И. В.,,To Babushkin I.V.,,"г. Санкт-Петербург, Ново-Александровская ул., 23, музей «Невская застава»",,,,"Бабушкин Иван Васильевич (1873-1906). Рабочий-революционер, член петербургского «Союза борьбы за освобождение рабочего класса», участник революции 1905-1907 гг., организатор вооруженного восстания в Чите, расстрелян карателями.

Открыт в 1974 г.
Скульптор: Игнатьев А. М.
Архитектор: Леляков А. Г.
Материалы: бронза – бюст; гранит – постамент.
Высота бюста – 0,7 м, высота постамента — 1,8 м.

Подписи: на бюсте с тыльной стороны: Отлито / на з-де / Экономайзер / 1974 / ск. Игнатьев А.М.
Надписи: на постаменте с лицевой стороны врезными тонированными знаками: И. В. Бабушкин.

За Невской заставой, на Ново-Александровской улице, сохранился деревянный дом, в котором жил В. А. Шелгунов, один из участников организованного В.И. Лениным марксистского кружка «Союз борьбы за освобождение рабочего класса». С 1960 г. в отреставрированном здании разместился историко-краеведческий музей «Невская застава». На площади перед зданием музея в 1974 г. завершено сооружение мемориального скульптурного комплекса, включающего гранитную стелу с портретом В. И. Ленина и пять бюстов участников «Союза борьбы...», в том числе И.В. Бабушкина. Бюсты отлиты из бронзы по авторским моделям на заводе «Экономайзер».","Ivan Vasilyevich Babushkin (1873-1906) was the revolutionary worker, the member of Petersburg's ""Working Class Liberation Union"", the participant of the 1905-1907 revolution, the organizer of the armed revolt in Chita.

Address:  23 Novo-Aleksandrovskaya st., ""Nevsky Outpost"" museum

Opened: 1974.
Sculptor: Ignatyev A. M. 
Architect: Lelyakov A. G. 
Materials: bust - bronze; pedestal - granite 
Bust height – 0,7 m, pedestal height — 1,8 m.

On Novo-Aleksandrovskaya Street, near the Nevsky outpost, reamained a wooden house, where V. A. Shelgunov, one of participants of the Marxist circle ""Working Class Liberation Union"" (organized by V. I. Lenin), lived. Since 1960, the local history museum ""Nevsky Outpost"" has been working in the restored building. In 1974, the construction of the memorial sculptural complex including a granite stele with V. I. Lenin's portrait and five busts of the Union's participants, including I.V. Babushkin, was completed on the square in front of the museum.",,,,Круглосуточно,24 hours,"59.865704,30.460084"
8905,Памятники,Балабушке М. Г.,,To Balabushka M.G.,,"г. Петродворец, Бондаровской Юты ул., 21",,,,"Михаил Георгиевич Балабушка ( 1890-1913)— один из первых русских авиаторов. Совершая полет из Петербурга в Гатчину, потерпел аварию над Петергофом и разбился. Памятник установлен на месте гибели летчика офицерами 148-го пехотного Каспийского полка, квартировавшего в Петергофе.

Надписи: на лицевой стороне врезными тонированными знаками: 1913 г. Мая 18 дня въ 5 час. утра / при полете на аэроплане Ньюпоръ / здесь упал и разбился поручик Михаилъ Геориевич / Балабушка. / военный летчик / 18го Корпуснаго Авиационнаго отряда / 1ой Авиационной роты;
на тыльной стороне: “Каспийцы / беззаветному герою / 1го октября 1913 г..

Материалы: гранит розовый – валун.","Mikhail Georgievich Balabushka (1890-1913) was one of the first Russian aviators. He died in a plane crash that happened when he was on the way from St. Petersburg to Gatchina. The monument on the site of the crash was erected by his fellow officers in 1913.

The inscription on the front side of the monument says: ""In May 18, year 1913 / at 5 am during the flight on the Nieuport airplane / here crashed and died lieutenant Mikhail Georgievich Balabushka, /a military pilot / of the 18th Aviation Squadron / 1st Aviation Company "" .
The inscription on the back side: ""From Caspians to the selfless hero / October 1,1913""

Material: pink granite",,,,Круглосуточно,24 hours,"59.861652,29.930176"
8906,Памятники,Барклаю де Толли М. Б.,,To Barclay de Tolly M.B,,"г. Санкт-Петербург, Казанская пл., у западного торца колоннады Казанского собора.",,,,"Михаил Богданович Барклай-де-Толли ( 16 [27] декабря 1761 — 14 [26] мая 1818 г.г.) -выдающийся русский полководец, военный министр, генерал-фельдмаршал, князь, герой Отечественной войны 1812 года. Командовал всей русской армией на начальном этапе Отечественной войны 1812 года, после чего был замещён М. И. Кутузовым. В заграничном походе русской армии 1813—1814 годов командовал объединённой русско-прусской армией в составе Богемской армии австрийского фельдмаршала князя Шварценберга.

Идея создания памятников фельдмаршалам М. И. Кутузову и М. Б. Барклаю-де-Толли принадлежит императору Александру I.  В 1829 году Николаем I был организован конкурс на создания скульптур Кутузова и Барклая-де-Толли. Выиграл конкурс Борис Иванович Орловский, который в январе 1830 года приступил к исполнению статуй. Торжественное открытие памятников М. И. Кутузову и М. Б. Барклая-де-Толли произошло 25 декабря 1837 года.

Материалы: бронза – скульптура; гранит красный, полированный – постамент; чугун – ограда.

Высота фигуры — 4,1 м, высота постамента — 3,45 м.","Prince Michael Andreas Barclay de Tolly (27 December [O.S. 16 December] 1761 – 26 May [O.S. 14 May] 1818) was a Russian Field Marshal and Minister of War during Napoleon's invasion in 1812 and War of the Sixth Coalition.

The idea of erecting the monumets to the Field Marshal M.I. Kutuzov and the Field Marshal M.B. Barclay de Tolly belonged to the Russian emperor Alexander I. However, this initiative was only implemented by his successor, Nicholas I. In 1829 the tzar organized a contest for the best project of the monument. The sculptor Boris Ivanovich Orlovsky was a winner of this competition. He started working on the statues in January, 1830. The unveiling of the monuments took place on December 25, 1837.

Materials: sculpture - bronze; pedestal - polished red granite; fence - iron.

The height of the figure - 4.1 m, height of the pedestal - 3.45 m.",,,,Круглосуточно,24 hours,"59.935002,30.324986"
8907,Памятники,Башня-руина,,Tower Ruin,,"г. Пушкин. Екатерининский парк, вблизи Рамповой аллеи и Гатчинских ворот",,,,"В комплексе памятников Царского Села, посвященных русско-турецким войнам, важное место принадлежит монументальной и эффектной Башне-руине.
Построенное по проекту архитектора Ю. М. Фельтена в 1771 году, это сооружение является своеобразным символом падения Оттоманской Порты, а венчающая ее беседка – одной из первых русских парковых построек в «готическом» стиле. Внешне Башня руина напоминает ушедшую в землю дорическую колонну, завершенную большой квадратной площадкой с круглым в плане павильоном, стены которого прорезаны стрельчатыми арками.К башне примыкают каменные стены, отчасти скрытые в толще искусственной земляной горы. Стена, обращенная к парку, прорезана полуциркульной аркой. На замыкающем арку гигантском камне высечена надпись: «На память войны, объявленной турками России, сей камень поставлен 1768 году». Арка служит входом в узкий коридор, в правой части которого начинается винтообразный пандус, служащий для подъема на верхнюю площадку. Отсюда, с высоты в 21 метр, открывается великолепный вид на пейзажный парк. Поверхность стен  была искусственно «состарена» трещинами, имитирующими естественные повреждения и поверх штукатурки расписана под руководством художника А. И. Бельского.","Among the complex of edifices devoted to the Russo-Turkish Wars at Tsarskoye Selo, an important place is occupied by the monumental and eye-catching Tower Ruin in the Catherine Park. Constructed in 1771 to the design of the architect Yury Velten, this creation is a kind of a symbol of the Ottoman Empire's collapse and at the same time one of the first Russian Neo-Gothic park structures. From the outside, the tower looks like a Doric column that has sunk into the ground. It is topped by a large square platform supporting a round pavilion which walls are pierced by lancet arches. The brick walls abutting the tower are partly hidden within the man-made hill. The wall facing the park is perforated by a semicircular arch. The gigantic keystone of this arch bears the inscription: “This stone was placed in 1768 in memory of the war declared on Russia by the Turks.” The arch serves as the entrance to a narrow corridor on the right side of which a spiral ramp begins that gives access to the upper platform. From up there, at a height of 21 metres, you get a splendid view of the Landscape Park. The walls of the Tower Ruin were artificially aged by the painted-on cracks, imitating the natural decay of the stone; these ""decorations"" were executed under the supervision of the artist Alexei Belsky.",,,,"Работает в летнее время, в часы работы парка (с 10:00 до 18:00). Может быть закрыта в связи с погодными условиями.",Open only during the summer season. Daily 10.00–18.00 (weather permitting),"59.713180,30.395926"
